Positive,0,0,01/01/19
Positive,0,0,01/02/19
Positive,0,0,01/03/19
Positive,0,0,01/04/19
Positive,0,0,01/05/19
Positive,0,0,01/06/19
Positive,0,0,01/07/19
Positive,0,0,01/08/19
Positive,0,0,01/09/19
Positive,0,0,01/10/19
Positive,0,0,01/11/19
Positive,0,0,01/12/19
Positive,0,0,01/13/19
Positive,0,0,01/14/19
Positive,0,0,01/15/19
Positive,0,0,01/16/19
Positive,0,0,01/17/19
Positive,0,0,01/18/19
Positive,0,0,01/19/19
Positive,0,0,01/20/19
Positive,0,0,01/21/19
Positive,0,0,01/22/19
Positive,0,0,01/23/19
Positive,0,0,01/24/19
Positive,0,0,01/25/19
Positive,0,0,01/26/19
Positive,0,0,01/27/19
Positive,0,0,01/28/19
Positive,0,0,01/29/19
Positive,0,0,01/30/19
Positive,0,0,01/31/19
Positive,0,0,02/01/19
Positive,0,0,02/02/19
Positive,0,0,02/03/19
Positive,0,0,02/04/19
Positive,0,0,02/05/19
Positive,0,0,02/06/19
Positive,0,0,02/07/19
Positive,0,0,02/08/19
Positive,0,0,02/09/19
Positive,0,0,02/10/19
Positive,0,0,02/11/19
Positive,0,0,02/12/19
Positive,0,0,02/13/19
Positive,0,0,02/14/19
Positive,0,0,02/15/19
Positive,0,0,02/16/19
Positive,0,0,02/17/19
Positive,0,0,02/18/19
Positive,0,0,02/19/19
Positive,0,0,02/20/19
Positive,0,0,02/21/19
Positive,0,0,02/22/19
Positive,0,0,02/23/19
Positive,0,0,02/24/19
Positive,0,0,02/25/19
Positive,0,0,02/26/19
Positive,0,0,02/27/19
Positive,0,0,02/28/19
Positive,0,0,03/01/19
Positive,0,0,03/02/19
Positive,0,0,03/03/19
Positive,0,0,03/04/19
Positive,0,0,03/05/19
Positive,0,0,03/06/19
Positive,0,0,03/07/19
Positive,0,0,03/08/19
Positive,0,0,03/09/19
Positive,0,0,03/10/19
Positive,0,0,03/11/19
Positive,0,0,03/12/19
Positive,0,0,03/13/19
Positive,0,0,03/14/19
Positive,0,0,03/15/19
Positive,0,0,03/16/19
Positive,0,0,03/17/19
Positive,0,0,03/18/19
Positive,0,0,03/19/19
Positive,0,0,03/20/19
Positive,0,0,03/21/19
Positive,0,0,03/22/19
Positive,0,0,03/23/19
Positive,0,0,03/24/19
Positive,0,0,03/25/19
Positive,0,0,03/26/19
Positive,0,0,03/27/19
Positive,0,0,03/28/19
Positive,0,0,03/29/19
Positive,0,0,03/30/19
Positive,0,0,03/31/19
Positive,0,0,04/01/19
Positive,0,0,04/02/19
Positive,0,0,04/03/19
Positive,0,0,04/04/19
Positive,0,0,04/05/19
Positive,0,0,04/06/19
Positive,0,0,04/07/19
Positive,0,0,04/08/19
Positive,0,0,04/09/19
Positive,0,0,04/10/19
Positive,0,0,04/11/19
Positive,0,0,04/12/19
Positive,0,0,04/13/19
Positive,0,0,04/14/19
Positive,0,0,04/15/19
Positive,0,0,04/16/19
Positive,0,0,04/17/19
Positive,0,0,04/18/19
Positive,0,0,04/19/19
Positive,0,0,04/20/19
Positive,0,0,04/21/19
Positive,0,0,04/22/19
Positive,0,0,04/23/19
Positive,0,0,04/24/19
Positive,0,0,04/25/19
Positive,0,0,04/26/19
Positive,0,0,04/27/19
Positive,0,0,04/28/19
Positive,0,0,04/29/19
Positive,0,0,04/30/19
Positive,0,0,05/01/19
Positive,0,0,05/02/19
Positive,0,0,05/03/19
Positive,0,0,05/04/19
Positive,0,0,05/05/19
Positive,0,0,05/06/19
Positive,0,0,05/07/19
Positive,0,0,05/08/19
Positive,0,0,05/09/19
Positive,0,0,05/10/19
Positive,0,0,05/11/19
Positive,0,0,05/12/19
Positive,0,0,05/13/19
Positive,0,0,05/14/19
Positive,0,0,05/15/19
Positive,0,0,05/16/19
Positive,0,0,05/17/19
Positive,0,0,05/18/19
Positive,0,0,05/19/19
Positive,0,0,05/20/19
Positive,0,0,05/21/19
Positive,0,0,05/22/19
Positive,0,0,05/23/19
Positive,0,0,05/24/19
Positive,0,0,05/25/19
Positive,0,0,05/26/19
Positive,0,0,05/27/19
Positive,0,0,05/28/19
Positive,0,0,05/29/19
Positive,0,0,05/30/19
Positive,0,0,05/31/19
Positive,0,0,06/01/19
Positive,0,0,06/02/19
Positive,0,0,06/03/19
Positive,0,0,06/04/19
Positive,0,0,06/05/19
Positive,0,0,06/06/19
Positive,0,0,06/07/19
Positive,0,0,06/08/19
Positive,0,0,06/09/19
Positive,0,0,06/10/19
Positive,0,0,06/11/19
Positive,0,0,06/12/19
Positive,0,0,06/13/19
Positive,0,0,06/14/19
Positive,0,0,06/15/19
Positive,0,0,06/16/19
Positive,0,0,06/17/19
Positive,0,0,06/18/19
Positive,0,0,06/19/19
Positive,0,0,06/20/19
Positive,0,0,06/21/19
Positive,0,0,06/22/19
Positive,0,0,06/23/19
Positive,0,0,06/24/19
Positive,0,0,06/25/19
Positive,0,0,06/26/19
Positive,0,0,06/27/19
Positive,0,0,06/28/19
Positive,0,0,06/29/19
Positive,0,0,06/30/19
Positive,0,0,07/01/19
Positive,0,0,07/02/19
Positive,0,0,07/03/19
Positive,0,0,07/04/19
Positive,0,0,07/05/19
Positive,0,0,07/06/19
Positive,0,0,07/07/19
Positive,0,0,07/08/19
Positive,0,0,07/09/19
Positive,0,0,07/10/19
Positive,0,0,07/11/19
Positive,0,0,07/12/19
Positive,0,0,07/13/19
Positive,0,0,07/14/19
Positive,0,0,07/15/19
Positive,0,0,07/16/19
Positive,0,0,07/17/19
Positive,0,0,07/18/19
Positive,0,0,07/19/19
Positive,0,0,07/20/19
Positive,0,0,07/21/19
Positive,0,0,07/22/19
Positive,0,0,07/23/19
Positive,0,0,07/24/19
Positive,0,0,07/25/19
Positive,0,0,07/26/19
Positive,0,0,07/27/19
Positive,0,0,07/28/19
Positive,0,0,07/29/19
Positive,0,0,07/30/19
Positive,0,0,07/31/19
Positive,0,0,08/01/19
Positive,0,0,08/02/19
Positive,0,0,08/03/19
Positive,0,0,08/04/19
Positive,0,0,08/05/19
Positive,0,0,08/06/19
Positive,0,0,08/07/19
Positive,0,0,08/08/19
Positive,0,0,08/09/19
Positive,0,0,08/10/19
Positive,0,0,08/11/19
Positive,0,0,08/12/19
Positive,0,0,08/13/19
Positive,0,0,08/14/19
Positive,0,0,08/15/19
Positive,0,0,08/16/19
Positive,0,0,08/17/19
Positive,0,0,08/18/19
Positive,0,0,08/19/19
Positive,0,0,08/20/19
Positive,0,0,08/21/19
Positive,0,0,08/22/19
Positive,0,0,08/23/19
Positive,0,0,08/24/19
Positive,0,0,08/25/19
Positive,0,0,08/26/19
Positive,0,0,08/27/19
Positive,0,0,08/28/19
Positive,0,0,08/29/19
Positive,0,0,08/30/19
Positive,0,0,08/31/19
Positive,0,0,09/01/19
Positive,0,0,09/02/19
Positive,0,0,09/03/19
Positive,0,0,09/04/19
Positive,0,0,09/05/19
Positive,0,0,09/06/19
Positive,0,0,09/07/19
Positive,0,0,09/08/19
Positive,0,0,09/09/19
Positive,0,0,09/10/19
Positive,0,0,09/11/19
Positive,0,0,09/12/19
Positive,0,0,09/13/19
Positive,0,0,09/14/19
Positive,0,0,09/15/19
Positive,0,0,09/16/19
Positive,0,0,09/17/19
Positive,0,0,09/18/19
Positive,0,0,09/19/19
Positive,0,0,09/20/19
Positive,0,0,09/21/19
Positive,0,0,09/22/19
Positive,0,0,09/23/19
Positive,0,0,09/24/19
Positive,0,0,09/25/19
Positive,0,0,09/26/19
Positive,0,0,09/27/19
Positive,0,0,09/28/19
Positive,0,0,09/29/19
Positive,0,0,09/30/19
Positive,0,0,10/01/19
Positive,0,0,10/02/19
Positive,0,0,10/03/19
Positive,0,0,10/04/19
Positive,0,0,10/05/19
Positive,0,0,10/06/19
Positive,0,0,10/07/19
Positive,0,0,10/08/19
Positive,0,0,10/09/19
Positive,0,0,10/10/19
Positive,0,0,10/11/19
Positive,0,0,10/12/19
Positive,0,0,10/13/19
Positive,0,0,10/14/19
Positive,0,0,10/15/19
Positive,0,0,10/16/19
Positive,0,0,10/17/19
Positive,0,0,10/18/19
Positive,0,0,10/19/19
Positive,0,0,10/20/19
Positive,0,0,10/21/19
Positive,0,0,10/22/19
Positive,0,0,10/23/19
Positive,0,0,10/24/19
Positive,0,0,10/25/19
Positive,0,0,10/26/19
Positive,0,0,10/27/19
Positive,0,0,10/28/19
Positive,0,0,10/29/19
Positive,0,0,10/30/19
Positive,0,0,10/31/19
Positive,0,0,11/01/19
Positive,0,0,11/02/19
Positive,0,0,11/03/19
Positive,0,0,11/04/19
Positive,0,0,11/05/19
Positive,0,0,11/06/19
Positive,0,0,11/07/19
Positive,0,0,11/08/19
Positive,0,0,11/09/19
Positive,0,0,11/10/19
Positive,0,0,11/11/19
Positive,0,0,11/12/19
Positive,0,0,11/13/19
Positive,0,0,11/14/19
Positive,0,0,11/15/19
Positive,0,0,11/16/19
Positive,0,0,11/17/19
Positive,0,0,11/18/19
Positive,0,0,11/19/19
Positive,0,0,11/20/19
Positive,0,0,11/21/19
Positive,0,0,11/22/19
Positive,0,0,11/23/19
Positive,0,0,11/24/19
Positive,0,0,11/25/19
Positive,0,0,11/26/19
Positive,0,0,11/27/19
Positive,0,0,11/28/19
Positive,0,0,11/29/19
Positive,0,0,11/30/19
Positive,0,0,12/01/19
Positive,0,0,12/02/19
Positive,0,0,12/03/19
Positive,0,0,12/04/19
Positive,0,0,12/05/19
Positive,0,0,12/06/19
Positive,0,0,12/07/19
Positive,0,0,12/08/19
Positive,0,0,12/09/19
Positive,0,0,12/10/19
Positive,0,0,12/11/19
Positive,0,0,12/12/19
Positive,0,0,12/13/19
Positive,0,0,12/14/19
Positive,0,0,12/15/19
Positive,0,0,12/16/19
Positive,0,0,12/17/19
Positive,0,0,12/18/19
Positive,0,0,12/19/19
Positive,0,0,12/20/19
Positive,0,0,12/21/19
Positive,0,0,12/22/19
Positive,0,0,12/23/19
Positive,0,0,12/24/19
Positive,0,0,12/25/19
Positive,0,0,12/26/19
Positive,0,0,12/27/19
Positive,0,0,12/28/19
Positive,0,0,12/29/19
Positive,0,0,12/30/19
Positive,0,0,12/31/19
